state,date,new_cases,new_deaths,total_cases,new_deaths,people_vaccinated_per_hundred
PW,2020-07-27,0,0,0,0,
AS,2021-01-04,0,0,3,0,0.0
AR,2021-01-24,1071,43,284066,43,0.0
TX,2021-12-30,15600,90,4561037,90,66.8
PR,2020-10-05,24,4,26626,4,
HI,2020-03-09,0,0,2,0,
FL,2021-04-30,5413,56,2195881,56,41.6
UT,2020-12-09,2574,23,222545,23,
KS,2021-12-08,4443,25,482232,25,67.1
AR,2020-10-30,1162,6,110874,6,
FL,2021-07-10,5130,32,2375297,32,54.7
HI,2020-10-23,128,3,14412,3,
FL,2022-01-15,46865,179,5110577,179,75.8
PR,2020-06-08,4,0,1438,0,
HI,2022-02-12,690,11,225523,11,85.7
WV,2020-03-26,25,0,76,0,
AR,2020-08-31,368,13,61224,13,
KS,2020-12-05,91,0,168386,0,
OK,2022-02-27,0,0,1020367,0,70.0
HI,2020-07-31,87,0,2172,0,
NYC,2020-02-02,0,0,0,0,
HI,2022-02-25,294,9,229771,9,86.2
CO,2022-01-07,19792,23,1031209,23,75.1
MA,2021-11-24,3422,20,904407,20,85.0
HI,2021-09-19,461,12,73148,12,76.2
MP,2021-07-22,0,0,188,0,55.6
NYC,2020-06-23,184,23,215538,23,
AR,2021-01-17,944,18,271122,18,0.0
AS,2021-04-13,0,0,0,0,34.9
HI,2021-05-14,80,1,33915,1,60.1
PW,2021-03-17,0,0,0,0,
FL,2021-04-11,1678,52,2083878,52,34.3
MP,2020-04-10,0,0,11,0,
AR,2021-10-21,506,7,508937,7,56.9
FL,2021-10-06,3995,121,3613538,121,67.4
AS,2021-06-29,0,0,0,0,45.8
GA,2020-03-02,1,0,3,0,
FL,2021-03-13,3826,60,1934023,60,20.1
AS,2020-04-06,0,0,0,0,
HI,2022-03-10,0,0,231844,0,86.6
WV,2021-09-04,1979,7,196484,7,47.3
AS,2021-03-25,0,0,4,0,31.2
KS,2020-11-03,0,0,89277,0,
OK,2021-11-18,970,0,658600,0,61.5
AS,2021-03-27,0,0,0,0,31.5
PR,2021-05-27,133,6,139599,6,49.8
AK,2020-06-11,18,0,616,0,
KS,2020-01-27,0,0,0,0,
AR,2020-04-15,85,1,1583,1,
KS,2022-02-10,0,0,752974,0,72.9
HI,2020-03-31,31,1,283,1,
PW,2021-01-27,0,0,0,0,
MA,2020-04-01,1118,36,7738,36,
CO,2021-07-31,983,3,581620,3,60.3
HI,2021-12-17,778,2,88019,2,83.8
HI,2020-06-08,6,0,669,0,
WV,2021-09-24,2685,31,231668,31,48.0
MA,2021-09-22,1980,24,798905,24,76.9
FL,2020-12-03,9978,92,1015475,92,
AR,2021-07-19,852,5,365132,5,44.1
AS,2021-02-20,0,0,4,0,19.6
PR,2020-06-16,9,0,1586,0,
KS,2020-12-15,0,0,190018,0,0.0
TX,2020-07-04,8258,148,191790,148,
FL,2021-07-03,2501,23,2346804,23,54.0
UT,2021-08-01,748,5,433963,5,52.1
AR,2021-04-19,59,5,333511,5,33.6
AK,2022-03-30,813,6,239233,6,69.2
TX,2020-09-11,3456,79,653265,79,
HI,2022-02-10,1164,6,224138,6,85.6
FL,2021-01-11,14614,183,1470042,183,0.0
MP,2021-05-25,0,0,181,0,44.7
CO,2021-09-23,2129,14,666782,14,65.1
AR,2020-08-19,729,12,54216,12,
CO,2021-01-22,1827,22,394409,22,0.0
AR,2021-05-11,233,6,337819,6,36.9
AK,2020-11-22,522,2,26844,2,
FL,2020-12-12,8809,93,1100400,93,
FL,2021-01-10,11584,174,1455428,174,0.0
NYC,2021-08-25,2077,11,1024558,11,
OK,2021-12-28,765,0,700798,0,65.8
PW,2021-02-02,0,0,0,0,
AS,2020-08-20,0,0,0,0,
MP,2020-08-24,0,0,54,0,
KS,2020-05-25,260,3,9218,3,
PR,2021-04-26,315,19,131459,19,35.3
TX,2022-02-10,15598,305,6423519,305,70.2
FL,2020-05-13,789,37,41721,37,
TX,2022-02-24,5860,234,6533512,234,70.8
MA,2020-11-18,2904,26,195868,26,
MA,2020-11-15,2133,32,188275,32,
AS,2021-12-05,0,0,10,0,78.2
KS,2020-12-09,5778,85,179803,85,
UT,2021-06-08,252,3,408068,3,46.0
PR,2020-04-20,20,2,663,2,
UT,2022-02-16,1392,10,916191,10,71.0
WV,2021-02-03,535,27,122470,27,0.0
FL,2021-12-14,4692,19,3752192,19,73.1
KS,2022-01-19,39326,128,660599,128,71.7
AS,2021-10-10,0,0,3,0,62.2
PW,2020-04-13,0,0,0,0,
NYC,2020-03-12,69,0,172,0,
GA,2021-02-28,2334,1,1006521,1,11.9
MP,2021-04-11,0,0,160,0,33.2
WV,2020-09-26,205,2,15158,2,
AR,2020-09-28,807,23,82049,23,
CO,2021-10-07,2948,28,694427,28,66.1
WV,2020-01-26,0,0,0,0,
PW,2020-02-18,0,0,0,0,
HI,2020-11-21,153,7,16919,7,
PR,2020-10-13,339,5,29024,5,
AS,2021-12-29,0,0,11,0,84.9
HI,2021-09-15,487,11,70991,11,75.8
TX,2020-12-08,19842,197,1404646,197,
NYC,2021-02-09,2383,82,653967,82,
AK,2021-07-14,118,0,69187,0,50.5
FL,2020-04-07,1005,45,14163,45,
GA,2021-07-08,932,3,1138492,3,44.0
PW,2021-05-28,0,0,0,0,
MA,2020-03-19,72,1,328,1,
AR,2020-08-06,735,7,47028,7,
AS,2020-08-26,0,0,0,0,
FL,2020-12-04,10177,97,1025652,97,
UT,2020-06-28,464,-2,21450,-2,
AK,2021-08-29,370,0,83620,0,53.9
TX,2020-04-21,738,41,20196,41,
WV,2020-08-20,181,0,8982,0,
CO,2021-06-22,349,4,561323,4,57.1
OK,2021-02-23,625,17,431151,17,15.1
WV,2020-02-15,0,0,0,0,
UT,2022-02-11,1791,11,910900,11,70.6
PW,2020-09-23,0,0,0,0,
GA,2021-07-27,3587,16,1167405,16,45.1
WV,2020-10-05,114,3,16742,3,
PW,2021-04-14,0,0,0,0,
KS,2020-12-19,0,0,200426,0,0.0
KS,2021-08-16,820,3,350384,3,55.6
PR,2021-10-12,168,5,182504,5,80.0
MP,2021-08-03,2,0,198,0,57.5
FL,2020-02-03,0,0,0,0,
AS,2020-04-14,0,0,0,0,
KS,2020-01-26,0,0,0,0,
MA,2020-07-14,203,18,105986,18,
CO,2020-04-24,970,121,12436,121,
HI,2021-05-21,47,2,34521,2,64.0
MP,2020-05-11,0,0,16,0,
MP,2020-02-27,0,0,0,0,
OK,2020-02-12,0,0,1,0,
AK,2020-09-09,65,0,5909,0,
PR,2021-03-19,328,2,105568,2,16.8
UT,2021-10-06,1975,12,516748,12,59.5
PR,2021-06-03,83,1,140089,1,51.4
GA,2021-08-27,11084,61,1369926,61,50.5
FL,2021-04-21,6674,67,2148319,67,38.8
NYC,2021-03-30,2471,57,847375,57,
AS,2020-04-11,0,0,0,0,
PW,2020-07-31,0,0,0,0,
UT,2020-04-17,45,1,2805,1,
HI,2021-11-29,70,0,84685,0,82.0
PR,2020-05-11,20,2,967,2,
AS,2021-12-13,0,0,10,0,82.3
UT,2021-04-16,463,2,392096,2,34.7
CO,2020-07-23,610,15,43413,15,
TX,2021-12-19,7425,25,4413046,25,65.9
MP,2022-02-27,-45,0,9550,0,86.9
PR,2021-11-10,132,3,185581,3,82.8
AR,2020-04-21,298,1,2262,1,
OK,2020-09-28,883,10,91937,10,
AR,2020-07-26,642,2,38623,2,
MP,2021-08-28,2,0,234,0,61.3
TX,2021-05-14,2613,37,2917256,37,40.4
AS,2020-11-17,0,0,3,0,
OK,2021-11-05,578,33,648791,33,59.9
WV,2020-03-31,17,0,162,0,
HI,2020-10-11,64,1,13435,1,
HI,2020-06-23,13,0,818,0,
AK,2022-02-09,2220,21,222608,21,68.1
MP,2022-03-04,75,0,10074,0,87.1
UT,2020-05-12,153,3,6548,3,
KS,2020-08-21,966,8,36856,8,
KS,2021-05-21,204,4,312997,4,45.3
OK,2021-06-23,273,1,456686,1,44.2
NYC,2021-12-15,7793,3,1212520,3,
UT,2021-05-19,430,4,403418,4,43.2
OK,2020-08-30,446,9,62876,9,
MP,2021-06-03,0,0,183,0,46.4
PR,2021-10-27,127,0,184048,0,81.8
CO,2021-12-27,3138,3,911273,3,74.2
MA,2022-01-18,60994,60,1487277,60,93.3
TX,2020-06-07,1425,18,74978,18,
UT,2020-10-01,1008,0,74050,0,
FL,2020-08-09,4082,172,523640,172,
AS,2020-01-29,0,0,0,0,
TX,2020-10-11,2418,51,792478,51,
KS,2022-02-09,4454,95,752974,95,72.8
CO,2020-05-19,279,33,23037,33,
MP,2020-07-20,0,0,37,0,
GA,2021-12-22,7610,45,1714093,45,60.6
AR,2021-10-03,486,16,498062,16,56.0
NYC,2021-06-27,177,10,955279,10,
AR,2022-03-17,457,31,828166,31,66.0
UT,2021-08-10,634,8,441131,8,53.6
NYC,2021-05-06,1089,30,936133,30,
UT,2020-11-27,2313,0,190044,0,
CO,2021-07-28,806,2,578466,2,59.9
AR,2020-10-24,1183,15,105318,15,
GA,2021-09-26,2667,46,1562870,46,54.6
AK,2022-01-10,3190,0,162626,0,65.5
PW,2021-06-10,1,0,2,0,
MP,2021-02-12,1,0,134,0,0.0
AR,2021-05-08,245,1,337415,1,36.5
PR,2021-01-01,253,0,80111,0,0.0
NYC,2021-11-05,1341,5,1127911,5,
AR,2020-11-06,1870,19,119230,19,
CO,2021-02-28,909,6,439340,6,15.7
AK,2021-02-21,113,2,55505,2,20.9
NYC,2021-01-08,6930,64,486905,64,
HI,2021-02-02,62,0,25932,0,0.0
CO,2021-08-22,1413,3,608076,3,62.6
NYC,2020-05-30,651,42,206202,42,
TX,2021-11-19,4370,100,4286622,100,63.2
NYC,2021-02-26,4464,82,722841,82,
UT,2020-09-30,906,2,73042,2,
MP,2020-01-30,0,0,0,0,
AK,2021-12-15,392,2,148772,2,64.2
TX,2022-03-02,3584,206,6557619,206,71.2
NYC,2021-03-12,4306,65,777375,65,
MA,2021-09-06,1420,3,769844,3,75.9
PW,2020-04-28,0,0,0,0,
UT,2022-03-02,461,19,923591,19,71.2
PW,2020-12-19,0,0,0,0,
AK,2022-03-20,0,0,236965,0,69.0
AR,2021-12-30,4978,18,562529,18,62.7
CO,2021-09-19,1817,9,659868,9,64.9
FL,2021-03-03,6084,92,1887573,92,15.1
NYC,2022-03-30,2485,3,2308618,3,
GA,2021-04-16,1650,56,1081629,56,31.8
NYC,2020-07-02,457,11,218736,11,
GA,2021-07-19,1098,4,1149266,4,44.9
UT,2021-09-30,1704,12,508494,12,59.0
PW,2020-11-19,0,0,0,0,
PR,2020-12-24,1042,9,74683,9,0.0
AR,2021-09-18,1574,22,484317,22,55.0
PW,2020-10-13,0,0,0,0,
AS,2020-03-30,0,0,0,0,
CO,2021-04-13,1689,11,491764,11,38.8
NYC,2020-07-10,453,17,221523,17,
AS,2020-05-29,0,0,0,0,
MP,2021-02-01,0,0,132,0,0.0
PW,2021-01-12,0,0,0,0,
PW,2021-06-06,0,0,1,0,
AS,2021-06-21,0,0,0,0,44.7
MP,2021-06-06,0,0,183,0,47.1
UT,2021-05-23,231,0,404477,0,44.1
OK,2022-02-05,0,0,995546,0,69.4
PR,2021-04-07,1065,3,113150,3,24.5
PW,2020-12-02,0,0,0,0,
AR,2021-07-06,270,6,352095,6,42.5
UT,2021-03-20,467,2,381254,2,20.3
PW,2021-07-26,0,0,2,0,
FL,2021-08-16,22112,332,2964364,332,61.3
OK,2020-12-27,3053,59,307560,59,0.0
HI,2021-01-24,143,6,25093,6,0.0
KS,2021-03-21,0,0,299510,0,25.3
GA,2022-03-03,1166,107,2469089,107,64.4
CO,2021-09-07,1098,1,635791,1,63.9
TX,2020-04-12,923,34,13484,34,
OK,2021-09-01,3274,17,557770,17,53.5
CO,2021-01-25,1222,7,398941,7,0.0
CO,2020-06-19,350,5,30917,5,
AS,2021-08-24,0,0,0,0,54.7
WV,2021-03-26,499,4,139750,4,28.0
FL,2021-08-10,25055,299,2835535,299,60.0
AK,2020-08-20,83,0,4537,0,
WV,2020-11-26,1130,17,44180,17,
OK,2020-12-22,4842,51,292848,51,0.0
WV,2020-07-31,220,1,6642,1,
UT,2021-03-15,221,0,378600,0,19.1
AK,2021-07-24,178,0,70929,0,51.0
AS,2021-04-19,0,0,0,0,36.4
MA,2021-07-19,255,2,713037,2,71.7
AS,2021-10-14,0,0,3,0,62.4
WV,2021-04-14,413,9,147203,9,33.9
OK,2020-12-17,3804,62,275979,62,0.0
MP,2020-07-28,0,0,40,0,
WV,2020-04-20,39,6,902,6,
AR,2021-11-04,428,18,514967,18,58.2
CO,2021-12-18,2264,0,877707,0,73.5
PR,2020-07-03,59,1,2258,1,
OK,2020-01-22,0,0,0,0,
OK,2021-09-30,1452,14,615217,14,56.6
GA,2021-01-09,11926,143,748852,143,0.0
WV,2021-01-10,1434,12,101212,12,0.0
PW,2021-11-30,0,0,10,0,
PW,2020-08-30,0,0,0,0,
MP,2020-04-29,0,0,14,0,
GA,2020-07-06,1642,18,97534,18,
PW,2021-10-09,0,0,10,0,
KS,2020-08-15,0,0,33885,0,
AS,2020-05-08,0,0,0,0,
PR,2021-12-17,0,0,191365,0,87.6
CO,2020-11-25,4121,46,222409,46,
PR,2020-03-01,0,0,0,0,
FL,2021-01-16,10783,179,1536390,179,0.0
KS,2021-03-24,802,31,300927,31,26.2
AK,2022-01-17,0,0,172329,0,65.9
WV,2020-06-24,36,0,2629,0,
KS,2021-01-11,5180,107,247502,107,0.0
FL,2020-01-24,0,0,0,0,
TX,2021-12-31,15762,0,4576799,0,66.8
KS,2022-01-29,0,0,722824,0,72.4
AS,2021-06-07,0,0,0,0,43.1
NYC,2021-01-06,7988,64,472480,64,
KS,2021-02-01,1983,30,276668,30,0.0
MA,2021-09-11,1695,6,778717,6,76.2
AS,2020-09-06,0,0,0,0,
PR,2021-07-14,180,2,142486,2,66.9
MP,2021-11-14,0,0,384,0,73.7
TX,2021-09-18,14401,317,3917282,317,59.1
TX,2021-04-02,3518,43,2790160,43,27.0
HI,2021-09-28,237,0,76243,0,76.6
FL,2021-09-30,5993,145,3591383,145,66.9
MA,2020-10-31,1430,12,158576,12,
FL,2022-01-28,22540,232,5521068,232,77.1
CO,2020-06-30,219,8,33473,8,
PR,2021-12-04,0,0,188673,0,85.6
OK,2021-09-08,2462,87,574685,87,54.4
PW,2022-01-09,0,0,21,0,
UT,2021-12-12,0,0,610681,0,65.9
CO,2021-01-23,1938,20,396347,20,0.0
WV,2021-03-17,315,19,136334,19,23.8
PW,2020-05-02,0,0,0,0,
MP,2020-09-24,0,0,69,0,
TX,2020-05-20,1411,21,51323,21,
FL,2021-08-21,18144,387,3077761,387,62.3
KS,2020-08-17,1282,3,35167,3,
OK,2020-04-14,108,7,2903,7,
UT,2020-04-24,60,1,3782,1,
PR,2020-01-26,0,0,0,0,
KS,2020-05-28,0,0,9337,0,
WV,2020-04-23,18,2,981,2,
AR,2020-03-19,27,0,64,0,
NYC,2020-06-16,194,23,213158,23,
WV,2021-09-05,1500,0,197984,0,47.3
GA,2020-05-25,532,3,41622,3,
FL,2021-09-14,10921,260,3475132,260,65.6
NYC,2021-09-29,1337,14,1083975,14,
CO,2021-02-03,1433,14,410750,14,0.0
PR,2021-03-29,171,2,108527,2,21.5
OK,2021-12-03,1807,3,672227,3,63.2
GA,2020-09-05,2270,46,293208,46,
WV,2022-02-14,897,31,476957,31,63.9
WV,2020-11-25,967,13,43050,13,
MP,2021-10-23,0,0,290,0,63.6
PR,2020-09-25,530,7,23890,7,
WV,2021-06-18,48,0,163430,0,42.3
MP,2021-02-13,0,0,134,0,15.1
PW,2021-03-05,0,0,0,0,
CO,2020-11-21,6259,42,205380,42,
HI,2021-06-13,30,0,35723,0,68.1
WV,2021-01-02,1507,12,89327,12,0.0
AS,2020-11-09,3,0,3,0,
OK,2020-11-14,3367,38,173582,38,
PW,2020-01-29,0,0,0,0,
AS,2020-05-11,0,0,0,0,
TX,2021-11-12,2813,316,4262152,316,62.1
CO,2021-08-29,1008,5,619382,5,63.2
CO,2020-04-14,292,21,8199,21,
GA,2022-01-10,46474,48,2025262,48,61.7
MA,2021-02-23,1237,39,571783,39,15.8
KS,2020-05-27,119,17,9337,17,
GA,2021-05-08,1013,31,1109330,31,36.3
GA,2021-10-01,3347,158,1582063,158,54.9
AK,2020-08-06,40,0,3488,0,
AK,2020-07-25,88,2,2347,2,
MP,2020-12-04,0,0,106,0,
GA,2020-07-22,3547,81,155083,81,
GA,2021-10-19,1679,136,1620694,136,56.1
FL,2022-02-16,6439,124,5769389,124,77.7
OK,2020-12-21,2222,44,288006,44,0.0
CO,2020-09-22,654,7,67895,7,
AR,2021-11-27,507,1,527213,1,60.0
UT,2022-01-23,0,0,825989,0,69.0
CO,2020-11-07,4006,13,134347,13,
OK,2021-08-10,2199,22,503552,22,49.7
WV,2020-12-22,1400,42,74737,42,0.0
CO,2020-09-07,247,1,61058,1,
UT,2021-01-10,2276,2,305999,2,0.0
CO,2020-06-07,170,0,28592,0,
FL,2022-03-01,1755,69,5810068,69,78.1
HI,2022-01-08,4148,1,134753,1,90.9
TX,2021-01-31,11490,261,2360632,261,0.0
KS,2021-08-19,1337,0,354727,0,55.9
KS,2022-02-22,0,0,763078,0,73.3
MP,2020-09-06,1,0,58,0,
AS,2021-08-08,0,0,0,0,52.7
GA,2020-06-26,2076,25,73458,25,
WV,2020-10-21,215,5,20734,5,
AK,2020-11-19,542,4,25176,4,
MA,2021-12-20,14212,36,1019682,36,89.3
HI,2020-02-24,0,0,0,0,
UT,2022-01-14,11128,8,750334,8,68.3
CO,2020-06-26,330,4,32498,4,
MP,2022-03-12,0,0,10379,0,87.2
UT,2020-08-17,239,2,47487,2,
CO,2021-09-26,1448,0,672365,0,65.4
KS,2021-12-18,0,0,497789,0,68.2
MA,2020-09-22,173,5,127969,5,
AR,2021-10-26,502,14,510908,14,57.6
AS,2021-06-01,0,0,0,0,42.1
TX,2020-08-09,4879,189,486362,189,
CO,2020-05-09,558,7,19733,7,
FL,2021-01-03,11235,170,1345381,170,0.0
FL,2021-09-03,17260,390,3338607,390,64.3
AR,2022-01-26,6561,18,756385,18,64.8
NYC,2020-01-25,0,0,0,0,
FL,2021-10-12,2641,104,3630972,104,67.8
AK,2021-07-21,219,1,70328,1,50.7
AS,2022-01-12,0,0,11,0,87.6
AK,2021-03-02,125,1,56523,1,23.1
AK,2021-04-17,177,0,63439,0,39.4
MP,2020-03-13,0,0,0,0,
OK,2022-03-19,0,0,1030615,0,70.3
AS,2021-09-13,0,0,0,0,58.2
MA,2021-04-26,881,16,683665,16,53.6
KS,2020-07-10,993,2,18611,2,
UT,2021-09-12,1404,5,482787,5,57.5
PW,2020-07-10,0,0,0,0,
OK,2022-02-08,1711,0,1000480,0,69.4
PR,2022-03-09,449,6,475379,6,95.0
CO,2021-04-14,1844,4,493608,4,39.5
HI,2022-03-20,0,0,232845,0,86.8
PW,2021-12-17,0,0,10,0,
OK,2022-03-29,0,0,1033256,0,70.5
OK,2020-02-28,4,0,23,0,
CO,2020-10-08,928,10,78291,10,
GA,2021-06-07,263,0,1126397,0,41.0
NYC,2021-05-11,467,29,940006,29,
MP,2021-09-05,5,0,248,0,61.8
HI,2020-07-25,64,0,1655,0,
KS,2021-09-09,2151,0,385001,0,58.2
TX,2020-06-16,4098,48,93206,48,
WV,2021-12-11,1134,0,306552,0,89.0
PR,2020-06-19,16,2,1662,2,
AK,2021-08-04,327,1,73584,1,51.8
PR,2020-03-31,19,0,96,0,
MA,2021-08-16,1033,2,737579,2,74.1
MP,2021-04-16,1,0,162,0,35.0
FL,2022-03-13,670,36,5827284,36,78.3
PR,2022-03-22,0,0,477788,0,95.0
UT,2021-04-13,358,2,390647,2,33.1
OK,2020-07-01,833,4,19847,4,
KS,2020-08-22,0,0,36856,0,
KS,2020-09-24,0,0,55226,0,
MP,2021-09-20,2,0,265,0,62.4
PW,2020-06-30,0,0,0,0,
UT,2020-07-03,650,-1,24571,-1,
TX,2021-07-06,1002,4,2995819,4,48.6
OK,2020-12-09,3404,58,249713,58,
WV,2020-06-17,35,0,2376,0,
NYC,2021-06-17,250,4,953531,4,
WV,2022-01-11,2508,7,362777,7,62.5
TX,2021-05-24,687,33,2932769,33,42.9
MA,2021-11-13,0,0,873281,0,82.2
PW,2020-12-03,0,0,0,0,
NYC,2021-05-28,312,8,948748,8,
TX,2020-12-29,32552,282,1715978,282,0.0
CO,2020-09-05,327,5,60530,5,
FL,2021-10-15,2670,83,3640081,83,68.0
FL,2021-03-11,5068,71,1925025,71,18.5
MP,2020-03-22,0,0,0,0,
PR,2020-07-26,195,1,6136,1,
GA,2020-05-22,1031,50,39387,50,
FL,2022-02-22,3927,96,5793826,96,77.9
AS,2022-01-11,0,0,11,0,87.3
OK,2020-11-09,2289,27,155069,27,
TX,2021-10-25,1843,17,4196041,17,61.0
OK,2021-10-04,996,65,619738,65,57.0
NYC,2021-09-02,2155,13,1039125,13,
OK,2020-11-28,2630,50,215382,50,
AR,2021-01-18,1141,32,272263,32,0.0
HI,2021-03-10,41,3,27944,3,20.8
MP,2020-07-05,0,0,31,0,
WV,2020-09-13,178,1,12699,1,
AS,2021-06-04,0,0,0,0,42.7
CO,2020-02-03,0,0,0,0,
WV,2020-04-05,42,1,324,1,
PW,2020-09-04,0,0,0,0,
PR,2020-03-25,0,0,1,0,
NYC,2020-12-22,3065,33,400984,33,
PW,2020-10-27,0,0,0,0,
AS,2021-04-17,0,0,0,0,36.4
OK,2022-02-07,3223,232,998769,232,69.4
PR,2020-02-22,0,0,0,0,
NYC,2022-02-16,1200,35,2268162,35,
OK,2022-01-22,0,0,893913,0,68.7
GA,2021-02-15,2070,57,966807,57,9.6
FL,2022-02-05,11539,195,5659876,195,77.4
MA,2021-03-19,2163,39,610481,39,27.4
UT,2021-07-08,668,2,418321,2,49.3
NYC,2021-01-24,5942,86,580099,86,
TX,2020-07-17,14916,242,307572,242,
FL,2022-03-03,1965,68,5814354,68,78.1
WV,2020-04-10,51,0,574,0,
TX,2020-08-16,6204,136,535042,136,
FL,2020-05-15,478,32,42984,32,
MA,2020-12-04,5491,52,246398,52,
AK,2022-02-02,4042,8,213606,8,67.9
PR,2020-12-05,928,0,59610,0,
AS,2021-04-24,0,0,0,0,37.5
PR,2021-02-19,252,24,100227,24,9.7
WV,2021-04-08,446,13,144820,13,32.5
CO,2021-07-13,518,8,569571,8,58.8
FL,2021-03-21,2980,51,1969237,51,23.8
HI,2021-06-08,31,0,35422,0,67.7
AS,2020-03-03,0,0,0,0,
MP,2022-01-20,1,0,4119,0,85.3
AK,2020-07-31,106,0,2993,0,
PW,2022-01-25,141,0,901,0,
AS,2020-10-29,0,0,0,0,
CO,2020-07-27,200,5,45727,5,
FL,2021-08-30,18998,415,3261817,415,63.7
MA,2022-01-24,27033,112,1563019,112,94.0
NYC,2020-04-15,3496,755,129965,755,
CO,2020-06-21,206,0,31304,0,
MA,2021-08-17,1468,6,739047,6,74.1
AS,2021-11-07,0,0,4,0,74.5
AR,2020-09-17,992,9,73211,9,
WV,2021-05-23,205,0,160145,0,39.5
OK,2020-09-18,1359,5,81416,5,
UT,2021-03-19,447,17,380787,17,20.3
KS,2021-12-24,0,0,505522,0,68.9
PW,2021-09-22,0,0,7,0,
UT,2020-02-11,0,0,0,0,
CO,2020-12-16,2977,71,313308,71,0.0
PR,2020-07-28,257,3,6504,3,
HI,2020-07-03,24,1,980,1,
MA,2021-06-20,72,6,709395,6,69.5
UT,2021-11-01,3179,29,553061,29,61.1
NYC,2020-03-03,0,0,1,0,
AS,2021-11-12,0,0,4,0,74.6
AK,2020-10-08,134,1,9048,1,
MA,2021-03-13,1757,32,600616,32,24.9
OK,2020-10-10,1315,13,106429,13,
GA,2021-12-18,0,0,1691674,0,60.4
AS,2021-02-09,0,0,3,0,0.0
HI,2022-02-03,1483,3,217895,3,85.2
MA,2021-04-29,1395,15,687638,15,55.3
FL,2021-02-03,7508,181,1714022,181,0.0
WV,2020-02-17,0,0,0,0,
HI,2021-05-08,123,1,33540,1,58.5
KS,2020-12-21,4174,107,204600,107,0.0
UT,2020-09-17,862,0,61631,0,
PR,2022-03-10,0,0,475379,0,95.0
MP,2020-07-08,0,0,31,0,
GA,2020-08-11,3754,122,228381,122,
AS,2021-06-09,0,0,0,0,43.1
UT,2021-05-25,185,0,404810,0,44.6
AR,2020-05-07,54,1,3665,1,
UT,2020-11-19,3968,16,165996,16,
MA,2021-07-06,74,4,710428,4,70.9
MA,2020-09-18,454,12,126582,12,
AR,2020-09-03,1392,20,63504,20,
PW,2021-01-21,0,0,0,0,
AK,2021-01-16,195,0,50264,0,0.0
FL,2020-05-04,573,57,36142,57,
MP,2021-12-22,61,0,2641,0,82.9
MA,2020-12-06,4827,49,256844,49,
NYC,2020-12-16,4659,30,379520,30,
AK,2022-01-07,3565,1,159436,1,65.4
AS,2020-08-15,0,0,0,0,
TX,2021-10-12,9217,233,4133381,233,60.3
UT,2021-04-08,483,10,388909,10,30.1
FL,2020-06-25,8766,51,120279,51,
PW,2020-04-17,0,0,0,0,
PR,2020-08-01,0,1,7780,1,
MA,2022-02-09,3240,73,1642896,73,95.0
HI,2021-09-18,550,8,72687,8,76.1
MA,2020-04-27,1524,162,56462,162,
FL,2020-11-20,8186,79,911057,79,
PW,2020-02-24,0,0,0,0,
AS,2022-02-09,39,0,57,0,89.5
MP,2020-05-29,0,0,22,0,
AK,2021-01-18,148,0,50670,0,0.0
FL,2020-03-20,142,2,527,2,
TX,2020-12-24,17064,236,1653522,236,0.0
MA,2022-02-06,0,0,1630462,0,95.0
TX,2020-10-24,6499,97,858071,97,
NYC,2020-01-22,0,0,0,0,
KS,2021-06-23,162,10,317017,10,48.6
GA,2022-02-07,11804,143,2414929,143,63.9
UT,2020-04-25,166,2,3948,2,
PW,2020-09-01,0,0,0,0,
AR,2021-05-12,224,7,338043,7,37.0
NYC,2020-01-30,0,0,0,0,
UT,2021-07-19,518,1,424171,1,50.7
NYC,2021-02-04,3205,82,630125,82,
PW,2021-09-09,0,0,4,0,
HI,2021-03-25,115,1,29120,1,29.0
TX,2020-04-30,1033,31,28087,31,
MA,2021-05-12,760,14,699187,14,61.1
KS,2020-06-10,162,4,10812,4,
MP,2021-07-20,1,0,188,0,54.8
MP,2021-06-25,0,0,183,0,51.0
FL,2021-04-09,6819,39,2076640,39,32.8
PR,2020-08-18,128,12,13382,12,
TX,2020-07-10,9765,202,240111,202,
FL,2021-03-29,5170,50,2010894,50,27.2
AR,2021-09-16,1824,33,480934,33,54.8
WV,2021-11-23,502,13,290026,13,53.8
FL,2020-02-18,0,0,0,0,
AK,2020-03-27,11,0,74,0,
UT,2021-12-13,2669,21,613350,21,65.9
OK,2021-06-26,156,0,457263,0,44.6
OK,2021-07-18,600,9,466598,9,46.2
TX,2020-06-08,638,30,75616,30,
AK,2021-07-06,39,0,68634,0,50.1
MP,2021-05-13,0,0,170,0,41.5
UT,2020-05-10,83,0,6317,0,
FL,2020-11-24,8122,74,939835,74,
NYC,2020-02-20,0,0,0,0,
PW,2022-02-26,0,0,3726,0,93.9
UT,2021-04-18,248,0,392757,0,35.4
PR,2020-05-02,3,2,853,2,
WV,2020-12-01,976,23,48818,23,
MP,2021-11-22,7,0,464,0,74.2
OK,2021-01-03,2971,51,334353,51,0.0
OK,2021-08-05,2303,8,493983,8,48.8
FL,2020-02-10,0,0,0,0,
AR,2021-02-13,954,40,312562,40,10.9
GA,2021-08-16,6467,12,1272014,12,48.8
KS,2021-11-14,0,0,447794,0,64.3
AK,2020-02-13,0,0,0,0,
CO,2021-11-02,2410,34,757859,34,67.8
TX,2021-09-07,7103,128,3697884,128,57.9
AR,2020-01-27,0,0,0,0,
UT,2020-02-15,0,0,0,0,
